  -1.6220708e+00  -1.7458937e+00  -1.9850658e+00  -2.1640216e+00  -1.4509103e+00
  -2.1329418e+00  -2.0416357e+00  -2.0649292e+00  -2.4097331e+00  -2.2628865e+00
  -3.1088631e+00  -2.8219737e+00  -2.4925190e+00  -2.4222113e+00  -2.7603881e+00
  -2.7811369e+00  -2.7976015e+00  -3.1075868e+00  -3.0919508e+00  -2.7937286e+00
  -2.4057355e+00  -2.4390302e+00  -2.9407404e+00  -2.9034281e+00  -3.4581544e+00
  -2.5756930e+00  -2.5015923e+00  -2.4870977e+00  -2.6018479e+00  -3.2736009e+00
  -2.9974832e+00  -2.7342585e+00  -2.6176097e+00  -2.5588945e+00  -2.5772715e+00
  -3.8286818e+00  -3.2715670e+00  -2.8984773e+00  -2.7034274e+00  -2.6267847e+00
  -3.0336849e+00  -3.4071281e+00  -3.6382059e+00  -3.0499561e+00  -2.8174801e+00
  -2.9475410e+00  -3.0042433e+00  -3.2901707e+00  -4.8650438e+00  -3.2331516e+00
  -2.9830081e+00  -2.9879900e+00  -3.0139760e+00  -3.2451795e+00  -3.8396897e+00
  -3.1955094e+00  -3.0352536e+00  -3.0080328e+00  -3.0210994e+00  -3.1636780e+00
  -3.6748774e+00  -3.2719035e+00  -3.0929755e+00  -3.0089088e+00  -3.0144470e+00
