   1.0729120e+03   1.0767508e+03   1.0805305e+03   1.0842529e+03   1.0879150e+03
   1.0729478e+03   1.0768011e+03   1.0805910e+03   1.0843183e+03   1.0879870e+03
   1.0729355e+03   1.0768011e+03   1.0806058e+03   1.0843520e+03   1.0880394e+03
   1.0728835e+03   1.0767705e+03   1.0805935e+03   1.0843547e+03   1.0880578e+03
   1.0727988e+03   1.0767052e+03   1.0805491e+03   1.0843317e+03   1.0880536e+03
   1.0726828e+03   1.0766126e+03   1.0804769e+03   1.0842791e+03   1.0880219e+03
   1.0725346e+03   1.0764890e+03   1.0803775e+03   1.0842017e+03   1.0879641e+03
   1.0723567e+03   1.0763364e+03   1.0802488e+03   1.0840969e+03   1.0878821e+03
   1.0721465e+03   1.0761547e+03   1.0800929e+03   1.0839646e+03   1.0877732e+03
   1.0719043e+03   1.0759417e+03   1.0799082e+03   1.0838061e+03   1.0876383e+03
   1.0716293e+03   1.0756981e+03   1.0796934e+03   1.0836191e+03   1.0874775e+03
   1.0713189e+03   1.0754221e+03   1.0794489e+03   1.0834031e+03   1.0872888e+03
   1.0709722e+03   1.0751116e+03   1.0791724e+03   1.0831580e+03   1.0870721e+03
