462639 100
0 0.01 20000000 5 8
0 -4.43925868123e-003  5.82752642315e-004  1.85411218784e-004  2.21932083436e-002
#      ^^ E0 ^^          ^^ Lx0 ^^          ^^ Ly0 ^^          ^^ Lz0 ^^
#
# HNBody system energy/angular momentum conservation file.
#
#
# Column order: t      (E-E0)/E0   (Lx-Lx0)/L0   (Ly-Ly0)/L0   (Lz-Lz0)/L0
#
                0  0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
           200000  -5.273424e-013 1.465030e-017 -2.685889e-017 -3.125398e-016
           400000  -4.974486e-013 2.441717e-017 6.226379e-017 -1.250159e-015
           600000  -9.198696e-013 1.465030e-017 1.611533e-016 -2.187779e-015
           800000  -7.567236e-013 0.000000e+000 1.770245e-016 -1.250159e-015
          1000000  -8.733681e-014 -2.930061e-017 1.196441e-016 -1.250159e-015
          1200000  -3.923318e-013 -4.395091e-017 1.758036e-016 -1.250159e-015
          1400000  -4.276964e-013 -3.418404e-017 2.038834e-016 -3.125398e-016
          1600000  -4.009287e-013 9.766869e-018 1.977791e-016 -3.125398e-016
          1800000  -3.946764e-013 -7.813495e-017 2.087668e-016 -1.875239e-015
          2000000  -1.180122e-013 -6.348465e-017 1.745828e-016 -2.187779e-015
          2200000  -4.337533e-013 -5.371778e-017 1.513865e-016 -1.875239e-015
          2400000  -3.739657e-013 -6.836808e-017 2.270797e-016 -2.031509e-015
          2600000  -2.788135e-013 -9.766869e-018 1.538282e-016 -1.875239e-015
          2800000  -6.387115e-013 -4.883435e-018 1.611533e-016 -1.718969e-015
          3000000  -1.189891e-013 0.000000e+000 1.416196e-016 -1.250159e-015
          3200000  -4.110887e-013 3.418404e-017 1.965582e-016 0.000000e+000
          3400000  -4.079626e-013 -4.883435e-018 1.367362e-016 -1.562699e-015
          3600000  -3.989749e-013 -9.766869e-018 1.562699e-016 -9.376194e-016
          3800000  -3.706441e-013 -9.766869e-018 8.912268e-017 -1.250159e-015
          4000000  -1.701798e-013 -3.906748e-017 1.220859e-016 -7.813495e-016
          4200000  -4.048364e-013 -2.441717e-017 6.836808e-017 -3.125398e-016
          4400000  -3.321534e-013 -6.836808e-017 7.935581e-017 -6.250796e-016
          4600000  -2.793996e-013 -2.441717e-017 1.452822e-016 0.000000e+000
          4800000  -2.198074e-013 -4.883435e-018 2.014417e-016 1.562699e-015
