462639 100
0 0.01 10000000 5 8
0 -4.43922817889e-003  5.82753026450e-004  1.85410891444e-004  2.21932203103e-002
#      ^^ E0 ^^          ^^ Lx0 ^^          ^^ Ly0 ^^          ^^ Lz0 ^^
#
# HNBody system energy/angular momentum conservation file.
#
#
# Column order: t      (E-E0)/E0   (Lx-Lx0)/L0   (Ly-Ly0)/L0   (Lz-Lz0)/L0
#
                0  0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
           100000  -4.448933e-013 4.883432e-018 -1.953373e-017 -4.688095e-016
           200000  -4.714657e-013 9.766864e-018 2.685888e-017 -1.562698e-016
           300000  -3.141802e-013 1.953373e-017 3.174231e-017 6.250793e-016
           400000  -4.226193e-013 -4.883432e-018 5.615947e-017 7.813491e-016
           500000  -1.139099e-013 0.000000e+000 7.691405e-017 1.562698e-016
           600000  -3.227772e-013 -2.441716e-017 7.935577e-017 -3.125396e-016
           700000  -4.669718e-013 -1.465030e-017 1.049938e-016 7.813491e-016
           800000  -4.083561e-013 4.883432e-018 9.156435e-017 1.093889e-015
           900000  -4.732242e-013 3.906746e-017 8.057663e-017 1.718968e-015
          1000000  -1.408731e-013 4.883432e-018 6.836805e-017 3.125396e-016
          1100000  -4.050346e-013 -1.953373e-017 3.540488e-017 -6.250793e-016
          1200000  -4.628687e-013 -2.441716e-017 5.371775e-017 -3.125396e-016
          1300000  -4.466517e-013 -3.418402e-017 9.156435e-017 -4.688095e-016
          1400000  -4.855335e-013 -3.906746e-017 9.034349e-017 -6.250793e-016
          1500000  -1.949949e-013 -4.883432e-017 9.766864e-017 -4.688095e-016
          1600000  -4.851427e-013 -4.883432e-017 8.057663e-017 -6.250793e-016
          1700000  -5.296907e-013 -7.325148e-017 8.790177e-017 -1.718968e-015
          1800000  -4.720519e-013 -4.883432e-017 9.522692e-017 -7.813491e-016
          1900000  -4.661903e-013 -8.790177e-017 1.025521e-016 -2.500317e-015
          2000000  -2.047642e-013 -9.278521e-017 1.062146e-016 -2.187777e-015
          2100000  -5.511831e-013 -9.278521e-017 1.135398e-016 -1.406428e-015
          2200000  -4.800627e-013 -6.348461e-017 1.159815e-016 1.562698e-016
          2300000  -6.267973e-013 -7.813491e-017 1.074355e-016 3.125396e-016
          2400000  -5.054628e-013 -6.348461e-017 1.281901e-016 6.250793e-016
          2500000  -2.581045e-013 -7.813491e-017 1.513864e-016 1.406428e-015
          2600000  -5.205075e-013 -7.813491e-017 1.721410e-016 1.406428e-015
          2700000  -4.951074e-013 -9.278521e-017 2.099876e-016 1.562698e-015
          2800000  -5.111290e-013 -8.301834e-017 1.709201e-016 2.500317e-015
          2900000  -5.017505e-013 -7.813491e-017 1.672575e-016 3.437936e-015
          3000000  -5.214845e-013 -8.790177e-017 1.831287e-016 2.187777e-015
          3100000  -3.925299e-013 -1.318527e-016 1.941164e-016 2.344047e-015
          3200000  -5.025320e-013 -1.172024e-016 1.721410e-016 2.031508e-015
          3300000  -5.089798e-013 -1.172024e-016 1.257484e-016 1.718968e-015
          3400000  -5.066351e-013 -1.513864e-016 1.477238e-016 1.250159e-015
          3500000  -4.624780e-013 -1.318527e-016 1.172024e-016 2.187777e-015
          3600000  -5.136690e-013 -1.318527e-016 1.110981e-016 2.031508e-015
          3700000  -5.248060e-013 -1.318527e-016 8.179748e-017 1.093889e-015
          3800000  -5.003828e-013 -1.416195e-016 1.269692e-016 1.093889e-015
          3900000  -5.080028e-013 -1.611533e-016 1.379570e-016 6.250793e-016
          4000000  -3.577512e-013 -1.660367e-016 1.806870e-016 4.688095e-016
          4100000  -5.126921e-013 -1.758035e-016 1.867913e-016 1.562698e-016
          4200000  -3.102725e-013 -2.246379e-016 1.880121e-016 0.000000e+000
          4300000  -5.040951e-013 -2.246379e-016 1.965581e-016 -4.688095e-016
          4400000  -6.404743e-013 -1.904538e-016 1.696993e-016 -1.562698e-016
          4500000  -3.614636e-013 -1.611533e-016 1.513864e-016 -9.376189e-016
          4600000  -5.201168e-013 -1.806870e-016 1.184232e-016 -1.250159e-015
          4700000  -6.439913e-013 -1.513864e-016 1.709201e-016 -6.250793e-016
          4800000  -5.105429e-013 -1.172024e-016 1.465030e-016 -1.562698e-016
          4900000  -5.226568e-013 -1.172024e-016 1.123189e-016 -1.562698e-016
          5000000  -3.991730e-013 -1.367361e-016 1.489447e-016 -3.125396e-016
          5100000  -4.460656e-013 -1.172024e-016 1.452821e-016 -1.562698e-016
