462639 100
0 0.01 5000000 5 8
0 -4.44271058702e-003  5.82753053055e-004  1.85410778926e-004  2.21926757616e-002
#      ^^ E0 ^^          ^^ Lx0 ^^          ^^ Ly0 ^^          ^^ Lz0 ^^
#
# HNBody system energy/angular momentum conservation file.
#
#
# Column order: t      (E-E0)/E0   (Lx-Lx0)/L0   (Ly-Ly0)/L0   (Lz-Lz0)/L0
#
                0  0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
            50000  -4.787102e-013 -1.465065e-017 2.319687e-017 -3.125473e-016
           100000  -4.683629e-013 -2.930131e-017 2.563865e-017 0.000000e+000
           150000  -4.925717e-013 -4.395196e-017 4.395196e-017 6.250946e-016
           200000  -5.064332e-013 -2.930131e-017 3.784753e-017 1.562737e-016
           250000  -2.809396e-013 -9.767103e-018 9.767103e-018 1.562737e-016
           300000  -4.789055e-013 1.465065e-017 2.563865e-017 9.376419e-016
           350000  -5.050666e-013 2.930131e-017 -1.220888e-018 3.125473e-016
           400000  -4.980382e-013 3.418486e-017 1.220888e-018 1.562737e-016
           450000  -5.050666e-013 4.395196e-017 1.709243e-017 6.250946e-016
           500000  -2.879680e-013 5.860262e-017 2.075509e-017 7.813683e-016
           550000  -6.489530e-013 8.302038e-017 2.441776e-017 1.406463e-015
           600000  -5.802312e-013 7.813683e-017 3.784753e-017 1.250189e-015
           650000  -5.245899e-013 8.790393e-017 4.883552e-017 1.406463e-015
           700000  -1.202828e-012 8.302038e-017 7.081150e-017 7.813683e-016
           750000  -3.469282e-013 1.123217e-016 3.418486e-017 6.250946e-016
           800000  -5.448941e-013 1.465065e-016 4.028930e-017 2.187831e-015
           850000  -4.898385e-013 1.465065e-016 7.813683e-017 2.812926e-015
           900000  -4.316592e-013 1.611572e-016 6.592795e-017 2.500378e-015
           950000  -5.222471e-013 1.660408e-016 6.104440e-017 2.031557e-015
          1000000  -1.024971e-013 1.367394e-016 5.493996e-017 1.875284e-015
          1050000  -4.593822e-013 1.074381e-016 5.982351e-017 1.562737e-015
          1100000  -5.368895e-013 7.813683e-017 4.395196e-017 1.562737e-015
          1150000  -5.074094e-013 8.302038e-017 2.685953e-017 1.719010e-015
          1200000  -5.544605e-013 8.790393e-017 -1.220888e-018 1.562737e-015
          1250000  -6.909280e-013 1.123217e-016 1.220888e-018 1.875284e-015
          1300000  -4.285355e-013 1.123217e-016 -3.662664e-017 1.406463e-015
          1350000  -4.291212e-013 1.123217e-016 -3.540575e-017 2.031557e-015
          1400000  4.878862e-013 1.074381e-016 -2.197598e-017 2.031557e-015
          1450000  -2.582927e-013 9.767103e-017 -3.052220e-017 1.562737e-015
          1500000  6.114684e-013 1.074381e-016 -5.371907e-017 1.406463e-015
          1550000  -1.967749e-012 1.123217e-016 -5.127729e-017 1.406463e-015
          1600000  -1.038637e-013 9.767103e-017 -5.493996e-017 1.719010e-015
          1650000  2.266650e-013 1.220888e-016 -6.348617e-017 2.187831e-015
          1700000  -9.839721e-013 1.074381e-016 -4.639374e-017 1.250189e-015
          1750000  -2.930441e-013 9.278748e-017 -3.418486e-017 1.250189e-015
          1800000  -4.242403e-013 1.123217e-016 -2.441776e-017 1.562737e-015
          1850000  -2.666877e-013 1.172052e-016 -7.325327e-018 2.812926e-015
          1900000  -4.806625e-013 1.172052e-016 1.465065e-017 1.719010e-015
          1950000  -5.081903e-013 1.269723e-016 -1.220888e-018 1.875284e-015
          2000000  -1.893756e-013 1.269723e-016 1.098799e-017 1.719010e-015
          2050000  -6.153730e-013 1.269723e-016 3.662664e-018 1.875284e-015
          2100000  -1.513052e-013 9.278748e-017 3.540575e-017 1.562737e-015
          2150000  -1.077684e-012 1.172052e-016 -1.098799e-017 9.376419e-016
          2200000  1.360185e-012 1.123217e-016 -2.930131e-017 4.688210e-016
          2250000  -1.032975e-012 1.123217e-016 -9.767103e-018 1.093916e-015
          2300000  4.791593e-012 1.220888e-016 -3.296397e-017 1.093916e-015
          2350000  9.150745e-012 1.269723e-016 -5.127729e-017 1.406463e-015
          2400000  -8.216948e-012 1.465065e-016 -3.784753e-017 1.250189e-015
          2450000  -3.075694e-012 1.416230e-016 -2.808042e-017 4.688210e-016
          2500000  3.806059e-012 1.562737e-016 -5.249818e-017 9.376419e-016
          2550000  5.099474e-013 1.513901e-016 -6.348617e-017 7.813683e-016
          2600000  -8.246623e-013 1.416230e-016 -7.935771e-017 9.376419e-016
          2650000  -5.331801e-013 1.269723e-016 -4.883552e-017 1.562737e-016
          2700000  -4.796864e-013 1.269723e-016 -7.325327e-017 6.250946e-016
          2750000  -3.449759e-013 1.123217e-016 -6.714883e-017 4.688210e-016
          2800000  -6.360677e-013 8.790393e-017 -6.836972e-017 4.688210e-016
          2850000  -4.025695e-013 9.278748e-017 -5.005640e-017 4.688210e-016
          2900000  -5.208805e-013 1.025546e-016 -5.616084e-017 3.125473e-016
          2950000  -2.342791e-013 8.790393e-017 -3.174309e-017 6.250946e-016
          3000000  -2.440407e-013 7.325327e-017 -3.906841e-017 3.125473e-016
          3050000  -4.414208e-013 5.860262e-017 -5.493996e-017 3.125473e-016
